# Server pairs should be seperated by a comma.
# When a secondary does not exist, then add "none".
#   ex: 111.222.333.444, none


172.31.70.71, 172.31.70.72
172.31.78.17, 172.31.78.18
172.31.78.37, 172.31.78.38
172.31.78.57, 172.31.78.58
78.39.70.9, 78.39.70.10
78.39.70.41, 78.39.70.42
78.39.70.73, 78.39.70.74
78.39.70.105, 78.39.70.106
46.224.70.9, 46.224.70.10
46.224.70.41, 46.224.70.42
5.160.70.9, none 
37.254.70.9, 37.254.70.10
37.255.70.9, 37.255.70.10 
10.44.70.25, 10.44.70.26 
10.44.70.49, 10.44.70.50 
94.183.70.9, 94.183.70.10
10.64.170.21, 10.64.170.22
151.238.70.9, 151.238.70.10
